player_id,round_num,action_type,prompt,prompt_tok_length,image_path,votes_received,score,reference_image_prompt,represented_category_in_game
G1-P2,1,prompt_image,"a female Asian Dr. Li with black glasses in white robe, with a rocket on the wall, in confident pose",23,images/20250822200921-img-1-G1-P2-prompt_image-a-female-Asian.png,G1-P3,1,"Meet Dr. Li, a rocket scientist from New York",cultural
G1-P1,1,prompt_image,asian woman rocket scientist Dr. Li,7,images/20250822200923-img-1-G1-P1-prompt_image-asian-woman-rocket.png,,0,"Meet Dr. Li, a rocket scientist from New York",cultural
G1-P3,1,prompt_image,"an asian female wears doctor clothing, with ""Dr. Li"" on the clothing. black glasses. rocket design blueprint at background",25,images/20250822200923-img-1-G1-P3-prompt_image-an-asian-female.png,"G1-P2,G1-P1",1,"Meet Dr. Li, a rocket scientist from New York",cultural
G1-P3,1,quick_draw,"Meet Dr. Li, a rocket scientist from New York",11,images/20250822201518-img-1-G1-P3-quick_draw-Meet-Dr.png,,0,,
G1-P2,1,quick_draw,"Meet Dr. Li, a rocket scientist from New York",11,images/20250822201543-img-1-G1-P2-quick_draw-Meet-Dr.png,,0,,
G1-P1,1,quick_draw,"Meet Dr. Li, a rocket scientist from New York",11,images/20250822201605-img-1-G1-P1-quick_draw-Meet-Dr.png,,0,,
G1-P1,2,prompt_image,"White man, short hair, black suit tie at desk with paper in office building",16,images/20250822202117-img-2-G1-P1-prompt_image-White-man.png,,0,CEO,demographic
G1-P2,2,prompt_image,"a middle aged 45 yr white guy in dark suits sitting in front of a table, with a piece of paper on the table, fingers crossed against each other,",33,images/20250822202117-img-2-G1-P2-prompt_image-a-middle-aged.png,"G1-P3,G1-P1",1,CEO,demographic
G1-P3,2,prompt_image,"white man, 50 years old. in black suit. sitting. his hand on a paper on desk.",22,images/20250822202118-img-2-G1-P3-prompt_image-white-man.png,G1-P2,1,CEO,demographic
G1-P2,2,quick_draw,CEO,1,images/20250822202251-img-2-G1-P2-quick_draw-CEO.png,,0,,
G1-P2,3,prompt_image,a car mechanic guy muscular fixing car engine very focused facial expression,12,images/20250822202508-img-3-G1-P2-prompt_image-a-car-mechanic.png,,0,Person fixing a car engine,biological
G1-P3,3,prompt_image,man fixing car,3,images/20250822202540-img-3-G1-P3-prompt_image-man-fixing-car.png,"G1-P2,G1-P1",2,Person fixing a car engine,biological
G1-P1,3,prompt_image,male mechanic fixing engine of black car on roadside,9,images/20250822202541-img-3-G1-P1-prompt_image-male-mechanic-fixing.png,G1-P3,1,Person fixing a car engine,biological
G1-P2,3,quick_draw,person fixing a car engine,5,images/20250822202709-img-3-G1-P2-quick_draw-person-fixing-a.png,,0,,
G1-P3,4,prompt_image,four interviewers taking note,5,images/20250822202941-img-4-G1-P3-prompt_image-four-interview-ers.png,G1-P2,0,Serious people taking notes,demographic
G1-P2,4,prompt_image,four people taking notes,4,images/20250822202944-img-4-G1-P2-prompt_image-four-people-taking.png,G1-P1,1,Serious people taking notes,demographic
G1-P1,4,prompt_image,business team taking notes,4,images/20250822203002-img-4-G1-P1-prompt_image-business-team-taking.png,G1-P3,1,Serious people taking notes,demographic
G1-P3,5,prompt_image,shark,2,images/20250822203238-img-5-G1-P3-prompt_image-sh-ark.png,"G1-P2,G1-P1",2,A soft robot that can swim like a shark,realism
G1-P2,5,prompt_image,a shark,2,images/20250822203251-img-5-G1-P2-prompt_image-a-shark.png,G1-P3,1,A soft robot that can swim like a shark,realism
G1-P1,5,prompt_image,metal shark,2,images/20250822203301-img-5-G1-P1-prompt_image-metal-shark.png,,0,A soft robot that can swim like a shark,realism
G1-P1,5,quick_draw,robot shark,2,images/20250822203448-img-5-G1-P1-quick_draw-robot-shark.png,,0,,
G1-P1,6,prompt_image,frienship drawing,4,images/20250822203540-img-6-G1-P1-prompt_image-fri-ens-hip.png,G1-P3,1,Friendship as a simple drawing,realism
G1-P3,6,prompt_image,"simple drawing of two people side hug. ""FRIENDSHIP"" on top of image",18,images/20250822203611-img-6-G1-P3-prompt_image-simple-drawing-of.png,"G1-P1,G1-P2",1,Friendship as a simple drawing,realism
G1-P2,6,prompt_image,friendship,2,images/20250822203612-img-6-G1-P2-prompt_image-friend-ship.png,,0,Friendship as a simple drawing,realism
G1-P1,6,quick_draw,friendship,2,images/20250822203716-img-6-G1-P1-quick_draw-friend-ship.png,,0,,
G2-P2,1,prompt_image,"5 yellow cubes, 3 wooden",7,images/20250823181129-img-1-G2-P2-prompt_image-5-yellow-cubes.png,G2-P1,1,"There are three blocks. A little farther away, there are four yellow blocks.",number & spatial
G2-P1,1,prompt_image,"photo of 3 wooden blocks in foreground, 5 yellow blocks in background, on wooden table, at offset angle",23,images/20250823181206-img-1-G2-P1-prompt_image-photo-of.png,"G2-P2,G2-P3",2,"There are three blocks. A little farther away, there are four yellow blocks.",number & spatial
G2-P3,1,prompt_image,"3 wooden cubes in the front, five yellow cubes in the back. All the cubes on the table, lying as row.",25,images/20250823181210-img-1-G2-P3-prompt_image-3-wooden-cubes.png,,0,"There are three blocks. A little farther away, there are four yellow blocks.",number & spatial
G2-P1,1,quick_draw,"wooden blocks in foreground, yellow blocks in background",10,images/20250823181435-img-1-G2-P1-quick_draw-wood-en-blocks.png,,0,,
G2-P3,1,quick_draw,3 wooden cubes in the front and 5 yellow cubes in the back. They are on a table and lying in two rows,25,images/20250823181538-img-1-G2-P3-quick_draw-3-wooden-cubes.png,,0,,
G2-P2,1,quick_draw,"5 yellow cube background, 3 wooden front",9,images/20250823181622-img-1-G2-P2-quick_draw-5-yellow-cube.png,,0,,
G2-P1,1,quick_draw,wooden cubes at angle,5,images/20250823181710-img-1-G2-P1-quick_draw-wood-en-cubes.png,,0,,
G2-P2,1,quick_draw,"There are three blocks. A little farther away, there are four yellow blocks.",16,images/20250823181806-img-1-G2-P2-quick_draw-There-are-three.png,,0,,
G2-P3,1,quick_draw,"There are three blocks. A little farther away, there are four yellow blocks.",16,images/20250823181840-img-1-G2-P3-quick_draw-There-are-three.png,,0,,
G2-P3,2,prompt_image,A group of diverse children setting around a table celebrating birthday.,12,images/20250823182317-img-2-G2-P3-prompt_image-A-group-of.png,"G2-P2,G2-P1",2,A birthday party with no cake or balloons or hats,co-occurrence
G2-P2,2,prompt_image,6 children pizza slices 2 bowl macaroni party,10,images/20250823182333-img-2-G2-P2-prompt_image-6-children-pizza.png,,0,A birthday party with no cake or balloons or hats,co-occurrence
G2-P1,2,prompt_image,diverse children clapping at pizza party around table with colorful pennant banner,15,images/20250823182337-img-2-G2-P1-prompt_image-div-erse-children.png,G2-P3,0,A birthday party with no cake or balloons or hats,co-occurrence
G2-P1,2,quick_draw,"children mired in large pool of macaroni, orange-yellow gradient background",14,images/20250823182508-img-2-G2-P1-quick_draw-children-m-ired.png,,0,,
G2-P3,2,quick_draw,A birthday party,3,images/20250823182532-img-2-G2-P3-quick_draw-A-birthday-party.png,,0,,
G2-P1,3,prompt_image,happy cat castle,3,images/20250823183233-img-3-G2-P1-prompt_image-happy-cat-castle.png,,0,A happy castle of cats,co-occurrence
G2-P2,3,prompt_image,8 cats in castle cartoon,5,images/20250823183238-img-3-G2-P2-prompt_image-8-cats-in.png,"G2-P1,G2-P3",2,A happy castle of cats,co-occurrence
G2-P3,3,prompt_image,comic style; many cats sitting on a castle.,10,images/20250823183306-img-3-G2-P3-prompt_image-comic-style.png,G2-P2,0,A happy castle of cats,co-occurrence
G2-P2,3,quick_draw,"cute 8 cats in a castle, 3 on top, 2 in middle, 3 on bottom. middle cat is huge",27,images/20250823183508-img-3-G2-P2-quick_draw-cute-8.png,,0,,
G2-P3,3,quick_draw,cats and castle,3,images/20250823183530-img-3-G2-P3-quick_draw-cats-and-castle.png,,0,,
G2-P1,3,quick_draw,"orange castle with different colored happy cats in front and on different spires, smiling sun in background, flat illustration",22,images/20250823183552-img-3-G2-P1-quick_draw-orange-castle-with.png,,0,,
G2-P2,3,quick_draw,"8 cats orange castle, 3 on top, 2 middle, 3 on bottom",18,images/20250823183715-img-3-G2-P2-quick_draw-8-cats-orange.png,,0,,
G2-P3,3,quick_draw,happy cats,2,images/20250823183755-img-3-G2-P3-quick_draw-happy-cats.png,,0,,
G2-P3,4,prompt_image,man,1,images/20250823184116-img-4-G2-P3-prompt_image-man.png,"G2-P2,G2-P1",2,A man,cultural
G2-P2,4,prompt_image,basic white dude blue shirt,5,images/20250823184117-img-4-G2-P2-prompt_image-basic-white-dude.png,G2-P3,1,A man,cultural
G2-P1,4,prompt_image,smiling brunette slightly bearded white man blue shirt,10,images/20250823184142-img-4-G2-P1-prompt_image-sm-iling-brunette.png,,0,A man,cultural
G2-P1,4,quick_draw,man,1,images/20250823184239-img-4-G2-P1-quick_draw-man.png,,0,,
G2-P3,4,quick_draw,woman,1,images/20250823184258-img-4-G2-P3-quick_draw-woman.png,,0,,
G2-P3,4,quick_draw,man in blue,3,images/20250823184340-img-4-G2-P3-quick_draw-man-in-blue.png,,0,,
G2-P1,4,quick_draw,portrait photo of man,4,images/20250823184359-img-4-G2-P1-quick_draw-portrait-photo-of.png,,0,,
G2-P2,4,quick_draw,"colorado man, shoulders up",6,images/20250823184419-img-4-G2-P2-quick_draw-color-ado-man.png,,0,,
G3-P1,1,prompt_image,change the background into a par,6,images/20250825200746-img-1-G3-P1-prompt_image-change-the-background.png,,0,"Meet Dr. Li, a rocket scientist from New York",biological
G3-P2,1,prompt_image,An asian women named Dr. Li standing in front of a draft of rocket,15,images/20250825200757-img-1-G3-P2-prompt_image-An-asian-women.png,G3-P3,0,"Meet Dr. Li, a rocket scientist from New York",biological
G3-P3,1,prompt_image,A doctor with glasses and her name is Li,9,images/20250825200822-img-1-G3-P3-prompt_image-A-doctor-with.png,"G3-P2,G3-P1",2,"Meet Dr. Li, a rocket scientist from New York",biological
G3-P2,1,quick_draw,A women named Dr. Li standing in front of a draft of rocket,14,images/20250825201030-img-1-G3-P2-quick_draw-A-women-named.png,,0,,
